name,total_area_mi,total_land_area_mi,total_water_area_mi
Alaska,"665,384.04","570,640.95","94,743.10"
Texas,"268,596.46","261,231.71","7,364.75"
California,"163,694.74","155,779.22","7,915.52"
Montana,"147,039.71","145,545.80","1,493.91"
New Mexico,"121,590.30","121,298.15",292.15
Arizona,"113,990.30","113,594.08",396.22
Nevada,"110,571.82","109,781.18",790.65
Colorado,"104,093.67","103,641.89",451.78
Oregon,"98,378.54","95,988.01","2,390.53"
Wyoming,"97,813.01","97,093.14",719.87
Michigan,"96,713.51","56,538.90","40,174.61"
Minnesota,"86,935.83","79,626.74","7,309.09"
Utah,"84,896.88","82,169.62","2,727.26"
Idaho,"83,568.95","82,643.12",925.83
Kansas,"82,278.36","81,758.72",519.64
Nebraska,"77,347.81","76,824.17",523.64
South Dakota,"77,115.68","75,811.00","1,304.68"
Washington,"71,297.95","66,455.52","4,842.43"
North Dakota,"70,698.32","69,000.80","1,697.52"
Oklahoma,"69,898.87","68,594.92","1,303.95"
Missouri,"69,706.99","68,741.52",965.47
Florida,"65,757.70","53,624.76","12,132.94"
Wisconsin,"65,496.38","54,157.80","11,338.57"
Georgia,"59,425.15","57,513.49","1,911.66"
Illinois,"57,913.55","55,518.93","2,394.62"
Iowa,"56,272.81","55,857.13",415.68
New York,"54,554.98","47,126.40","7,428.58"
North Carolina,"53,819.16","48,617.91","5,201.25"
Arkansas,"53,178.55","52,035.48","1,143.07"
Alabama,"52,420.07","50,645.33","1,774.74"
Louisiana,"52,378.13","43,203.90","9,174.23"
Mississippi,"48,431.78","46,923.27","1,508.51"
Pennsylvania,"46,054.35","44,742.70","1,311.64"
Ohio,"44,825.58","40,860.69","3,964.89"
Virginia,"42,774.93","39,490.09","3,284.84"
Tennessee,"42,144.25","41,234.90",909.36
Kentucky,"40,407.80","39,486.34",921.46
Indiana,"36,419.55","35,826.11",593.44
Maine,"35,379.74","30,842.92","4,536.82"
South Carolina,"32,020.49","30,060.70","1,959.79"
West Virginia,"24,230.04","24,038.21",191.83
Maryland,"12,405.93","9,707.24","2,698.69"
Hawaii,"10,931.72","6,422.63","4,509.09"
Massachusetts,"10,554.39","7,800.06","2,754.33"
Vermont,"9,616.36","9,216.66",399.71
New Hampshire,"9,349.16","8,952.65",396.51
New Jersey,"8,722.58","7,354.22","1,368.36"
Connecticut,"5,543.41","4,842.36",701.06
Delaware,"2,488.72","1,948.54",540.18
Rhode Island,"1,544.89","1,033.81",511.07
District of Columbia,68.34,61.05,7.29
Puerto Rico,"5,324.84","3,423.78","1,901.07"
Northern Mariana Islands,"1,975.57",182.33,"1,793.24"
United States Virgin Islands,732.93,134.32,598.61
American Samoa,581.05,76.46,504.6
Guam,570.62,209.8,360.82
Minor Outlying Islands[3][a],16,16,
